epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,58428.7,3.26543,3.81008,2.88519,0.54335,0.41847,0.44207,0.2591,3.18619,3.60996,2.81659,0.003466,0.003466,0.003466
101,59070.6,3.26938,3.81363,2.8902,0.54571,0.41881,0.44384,0.25989,3.1856,3.60547,2.81532,0.0034,0.0034,0.0034
102,59712.2,3.2631,3.80233,2.87939,0.55324,0.41513,0.44466,0.26054,3.18676,3.60035,2.81583,0.003334,0.003334,0.003334
103,60353.8,3.27151,3.76396,2.87368,0.56686,0.41027,0.44608,0.26136,3.18686,3.59633,2.81632,0.003268,0.003268,0.003268
104,60996.2,3.25936,3.7653,2.87239,0.55888,0.41379,0.44674,0.26209,3.18787,3.59137,2.81543,0.003202,0.003202,0.003202
105,61638.9,3.24365,3.73663,2.85604,0.56992,0.41044,0.45243,0.26376,3.1888,3.58654,2.81513,0.003136,0.003136,0.003136
106,62280.9,3.25704,3.75166,2.86351,0.5683,0.41065,0.45361,0.26454,3.18991,3.58145,2.81519,0.00307,0.00307,0.00307
107,62925.4,3.24891,3.74465,2.85984,0.51598,0.43793,0.45313,0.2644,3.18831,3.57916,2.81334,0.003004,0.003004,0.003004
108,63569.2,3.25032,3.73684,2.85643,0.52014,0.43664,0.45413,0.2649,3.19006,3.5732,2.81317,0.002938,0.002938,0.002938
109,64212.7,3.23682,3.71093,2.8555,0.5211,0.43517,0.45514,0.26597,3.18945,3.56759,2.81232,0.002872,0.002872,0.002872
110,64855,3.21682,3.69237,2.84173,0.51854,0.44725,0.45578,0.26769,3.18871,3.56506,2.81054,0.002806,0.002806,0.002806
111,65501.3,3.22279,3.70794,2.85081,0.5021,0.44641,0.4567,0.26826,3.18894,3.55986,2.80965,0.00274,0.00274,0.00274
112,66144.4,3.2211,3.67114,2.83914,0.48736,0.44548,0.45713,0.26843,3.18989,3.55623,2.80856,0.002674,0.002674,0.002674
113,66789.6,3.20927,3.66648,2.83168,0.48287,0.4435,0.45877,0.2696,3.18943,3.55235,2.80738,0.002608,0.002608,0.002608
114,67433.8,3.2037,3.66338,2.83264,0.50625,0.43238,0.46192,0.27052,3.18886,3.54919,2.80749,0.002542,0.002542,0.002542
115,68080.1,3.21539,3.65102,2.84152,0.51887,0.4256,0.46172,0.27105,3.19102,3.54282,2.80791,0.002476,0.002476,0.002476
116,68722.6,3.19441,3.61506,2.82667,0.53735,0.41727,0.46196,0.27176,3.18925,3.54198,2.80587,0.00241,0.00241,0.00241
117,69366,3.19521,3.62636,2.83082,0.53455,0.41659,0.46235,0.27186,3.18943,3.53656,2.80511,0.002344,0.002344,0.002344
118,70010.3,3.20256,3.61503,2.826,0.52237,0.42072,0.46351,0.27254,3.18917,3.53208,2.80485,0.002278,0.002278,0.002278
119,70655.4,3.19302,3.58989,2.8192,0.50682,0.4234,0.46359,0.27247,3.18949,3.52711,2.80439,0.002212,0.002212,0.002212
120,71301.5,3.19416,3.59252,2.82513,0.51108,0.41878,0.46349,0.27274,3.1908,3.52143,2.80397,0.002146,0.002146,0.002146
121,71948.1,3.18448,3.57088,2.80808,0.51397,0.41697,0.46445,0.2732,3.19236,3.51727,2.80509,0.00208,0.00208,0.00208
122,72595.8,3.17583,3.57756,2.81068,0.51401,0.41897,0.46457,0.27353,3.19188,3.51281,2.80404,0.002014,0.002014,0.002014
123,73244.3,3.16455,3.54994,2.80106,0.50772,0.42155,0.4658,0.27415,3.19171,3.50969,2.80352,0.001948,0.001948,0.001948
124,73892,3.15833,3.49911,2.79928,0.50832,0.42301,0.466,0.2744,3.19236,3.50727,2.80328,0.001882,0.001882,0.001882
125,74539,3.15581,3.53659,2.7927,0.47473,0.44277,0.46754,0.2754,3.19297,3.50356,2.80274,0.001816,0.001816,0.001816
126,75187.2,3.16068,3.51827,2.79541,0.48508,0.43725,0.4686,0.27635,3.19388,3.49833,2.80234,0.00175,0.00175,0.00175
127,75835.9,3.14973,3.50984,2.78835,0.48638,0.43729,0.4704,0.27736,3.19471,3.49463,2.80156,0.001684,0.001684,0.001684
128,76483,3.14664,3.49685,2.78168,0.50343,0.44581,0.47173,0.27853,3.19548,3.49171,2.8007,0.001618,0.001618,0.001618
129,77132.2,3.13679,3.47014,2.7765,0.49993,0.44744,0.47306,0.27898,3.19618,3.48823,2.80049,0.001552,0.001552,0.001552
130,77786.1,3.11961,3.46878,2.76684,0.50694,0.44432,0.47379,0.27948,3.19587,3.48642,2.80013,0.001486,0.001486,0.001486
131,78429.8,3.13446,3.45515,2.7737,0.53738,0.42922,0.47453,0.27902,3.19549,3.4851,2.79879,0.00142,0.00142,0.00142
132,79105.6,3.12142,3.43987,2.76269,0.5432,0.42361,0.47489,0.279,3.19584,3.48325,2.79854,0.001354,0.001354,0.001354
133,79778.1,3.10666,3.43126,2.76031,0.54697,0.419,0.4753,0.28019,3.1955,3.48033,2.79712,0.001288,0.001288,0.001288
134,80450.4,3.11639,3.43325,2.75842,0.54757,0.4201,0.47671,0.28116,3.19652,3.47487,2.79741,0.001222,0.001222,0.001222
135,81114.3,3.11117,3.42297,2.76051,0.53664,0.42687,0.4771,0.28047,3.19824,3.47142,2.79847,0.001156,0.001156,0.001156
136,81776.5,3.0935,3.37293,2.75154,0.535,0.42615,0.4791,0.28111,3.19877,3.46949,2.7988,0.00109,0.00109,0.00109
137,82444.3,3.09442,3.3953,2.76007,0.53363,0.42801,0.47998,0.28134,3.19879,3.46821,2.79845,0.001024,0.001024,0.001024
138,83115.8,3.09672,3.37635,2.75271,0.52876,0.4308,0.48216,0.28233,3.19875,3.46744,2.79875,0.000958,0.000958,0.000958
139,83785.5,3.07073,3.35699,2.74084,0.50878,0.44682,0.4831,0.28266,3.19883,3.46679,2.79831,0.000892,0.000892,0.000892
140,84456.9,3.07045,3.35765,2.73655,0.51001,0.44654,0.48311,0.28267,3.20021,3.46463,2.79789,0.000826,0.000826,0.000826
141,85154,3.02734,3.03198,2.75938,0.50555,0.45312,0.48356,0.28289,3.20345,3.45939,2.79944,0.00076,0.00076,0.00076
142,85820.4,3.00593,2.99427,2.75568,0.50467,0.45449,0.48417,0.2833,3.20375,3.45812,2.79915,0.000694,0.000694,0.000694
143,86392.8,3.00747,2.96727,2.75585,0.50561,0.45332,0.48756,0.28409,3.20326,3.4585,2.79842,0.000628,0.000628,0.000628
144,87013.3,2.98565,2.93613,2.73967,0.50908,0.4537,0.48828,0.28527,3.20457,3.45835,2.79838,0.000562,0.000562,0.000562
145,87679,2.97797,2.92832,2.73922,0.5109,0.45225,0.48858,0.28548,3.20775,3.45386,2.79933,0.000496,0.000496,0.000496
146,88345.7,2.95866,2.90665,2.71872,0.50841,0.46055,0.48892,0.28521,3.2097,3.4525,2.79982,0.00043,0.00043,0.00043
147,89018.3,2.94951,2.88249,2.71606,0.50846,0.46212,0.49039,0.28579,3.21063,3.45164,2.7998,0.000364,0.000364,0.000364
148,89685.7,2.95289,2.87656,2.72355,0.50923,0.46245,0.49064,0.28592,3.21286,3.4499,2.80044,0.000298,0.000298,0.000298
149,90341.7,2.93823,2.85901,2.70912,0.5089,0.4644,0.49054,0.28609,3.21323,3.45047,2.80117,0.000232,0.000232,0.000232
150,90998.6,2.93473,2.83936,2.70971,0.50597,0.46608,0.4906,0.28592,3.21494,3.44761,2.80217,0.000166,0.000166,0.000166
