epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,41084.9,3.23881,3.57952,2.88605,0.55466,0.43975,0.47134,0.27825,3.14462,3.43109,2.81624,0.005182,0.005182,0.005182
75,41640.3,3.22718,3.56678,2.87992,0.56469,0.43546,0.47225,0.27869,3.14286,3.42521,2.81524,0.005116,0.005116,0.005116
76,42194.2,3.23992,3.55083,2.8747,0.56899,0.43418,0.47245,0.2798,3.14327,3.41832,2.81379,0.00505,0.00505,0.00505
77,42811.2,3.21735,3.54284,2.86679,0.56725,0.43716,0.4802,0.2808,3.1435,3.41222,2.81178,0.004984,0.004984,0.004984
78,43433.5,3.22418,3.5484,2.8684,0.56797,0.43797,0.48104,0.2814,3.14164,3.40873,2.81037,0.004918,0.004918,0.004918
79,44054.9,3.19578,3.50975,2.85591,0.55304,0.44834,0.48251,0.28226,3.14203,3.4026,2.80901,0.004852,0.004852,0.004852
80,44674.6,3.20789,3.50433,2.85141,0.56428,0.44151,0.48337,0.28333,3.14087,3.39626,2.80773,0.004786,0.004786,0.004786
81,45294.4,3.19242,3.49663,2.85516,0.56619,0.44186,0.48008,0.2843,3.14048,3.39072,2.80757,0.00472,0.00472,0.00472
82,45915.6,3.20074,3.49528,2.85412,0.56912,0.4399,0.48039,0.28489,3.14143,3.38228,2.8067,0.004654,0.004654,0.004654
83,46533.9,3.18827,3.45868,2.84576,0.5663,0.44307,0.4823,0.28623,3.14073,3.37731,2.80676,0.004588,0.004588,0.004588
84,47156.8,3.19215,3.48643,2.83581,0.52589,0.47579,0.48913,0.28915,3.14157,3.37019,2.80538,0.004522,0.004522,0.004522
85,47748.1,3.19383,3.4765,2.84658,0.52886,0.47654,0.48979,0.28973,3.14178,3.36369,2.80386,0.004456,0.004456,0.004456
86,48309.3,3.18495,3.45688,2.83979,0.52996,0.47561,0.48939,0.29021,3.13983,3.3613,2.80219,0.00439,0.00439,0.00439
87,48866.2,3.18268,3.42807,2.83738,0.49574,0.4887,0.49156,0.29116,3.14016,3.35412,2.80146,0.004324,0.004324,0.004324
88,49432.6,3.1671,3.41492,2.82745,0.4853,0.48981,0.49285,0.29316,3.14142,3.34741,2.80188,0.004258,0.004258,0.004258
89,50055.8,3.1716,3.40216,2.8317,0.48582,0.4875,0.49384,0.2922,3.14078,3.34334,2.80081,0.004192,0.004192,0.004192
90,50677.8,3.16607,3.43405,2.8261,0.47623,0.48702,0.49709,0.2933,3.14149,3.33652,2.80013,0.004126,0.004126,0.004126
91,51302.7,3.15737,3.37472,2.82017,0.50137,0.47455,0.49715,0.29334,3.14245,3.32932,2.8007,0.00406,0.00406,0.00406
92,51924.8,3.16871,3.37085,2.81634,0.52207,0.4662,0.4985,0.29555,3.14145,3.32491,2.79918,0.003994,0.003994,0.003994
93,52542.2,3.14467,3.36381,2.80836,0.55864,0.4502,0.49948,0.29602,3.14105,3.32062,2.79911,0.003928,0.003928,0.003928
94,53164.2,3.1438,3.34361,2.80558,0.47418,0.47988,0.49964,0.29643,3.14188,3.31339,2.79769,0.003862,0.003862,0.003862
95,53724.2,3.13038,3.33369,2.80672,0.47381,0.48021,0.49909,0.29666,3.14288,3.30654,2.79741,0.003796,0.003796,0.003796
96,54281.7,3.15148,3.32005,2.80741,0.48417,0.47694,0.50187,0.29667,3.14335,3.30076,2.79663,0.00373,0.00373,0.00373
97,54836.3,3.12693,3.31485,2.79297,0.50557,0.48465,0.50608,0.29808,3.14475,3.29429,2.7972,0.003664,0.003664,0.003664
98,55390.5,3.13404,3.28663,2.78773,0.51674,0.48342,0.50664,0.29875,3.14612,3.28817,2.79735,0.003598,0.003598,0.003598
99,55944.3,3.11988,3.27867,2.7873,0.52124,0.48008,0.50793,0.29931,3.1466,3.28513,2.7973,0.003532,0.003532,0.003532
100,56499.8,3.10616,3.266,2.78746,0.51607,0.47923,0.50991,0.30003,3.14693,3.28085,2.79714,0.003466,0.003466,0.003466
101,57056.3,3.10556,3.27093,2.79273,0.53106,0.47354,0.51124,0.30104,3.14698,3.27763,2.79614,0.0034,0.0034,0.0034
102,57611.6,3.09617,3.25087,2.77808,0.53955,0.47201,0.51197,0.30126,3.14583,3.27419,2.79442,0.003334,0.003334,0.003334
103,58167.2,3.10302,3.22151,2.76612,0.5439,0.4679,0.51165,0.30118,3.14713,3.26888,2.79473,0.003268,0.003268,0.003268
104,58723.2,3.09075,3.22425,2.76369,0.55165,0.46445,0.5123,0.30155,3.14893,3.26273,2.79428,0.003202,0.003202,0.003202
105,59279.1,3.07208,3.1878,2.76207,0.55799,0.46135,0.51347,0.30205,3.14827,3.25871,2.79359,0.003136,0.003136,0.003136
106,59833.1,3.08218,3.17577,2.76212,0.55775,0.46053,0.51473,0.30298,3.14821,3.25383,2.79332,0.00307,0.00307,0.00307
107,60386.8,3.07363,3.17124,2.75057,0.52663,0.46947,0.51486,0.30349,3.14872,3.25005,2.79223,0.003004,0.003004,0.003004
108,60941.6,3.0602,3.16733,2.73466,0.48772,0.50363,0.51647,0.30444,3.14977,3.24439,2.79168,0.002938,0.002938,0.002938
109,61496.4,3.06706,3.14939,2.7481,0.49273,0.5028,0.51673,0.30506,3.14918,3.24188,2.79013,0.002872,0.002872,0.002872
110,62050,3.03426,3.12685,2.73349,0.50069,0.49764,0.51617,0.3047,3.15026,3.2379,2.79008,0.002806,0.002806,0.002806
111,62605,3.04957,3.126,2.73844,0.50705,0.49421,0.51682,0.30535,3.15093,3.23498,2.78967,0.00274,0.00274,0.00274
112,63159.7,3.0308,3.09928,2.73278,0.52819,0.48514,0.51716,0.30598,3.15307,3.2306,2.78912,0.002674,0.002674,0.002674
113,63715.2,3.02952,3.06821,2.7249,0.52759,0.48472,0.51879,0.30689,3.15429,3.2251,2.79029,0.002608,0.002608,0.002608
114,64269.7,3.01447,3.06578,2.71875,0.5422,0.47769,0.51997,0.30731,3.15544,3.22114,2.78972,0.002542,0.002542,0.002542
115,64823.6,3.02482,3.05232,2.72236,0.55001,0.47504,0.52235,0.30815,3.1568,3.21646,2.7901,0.002476,0.002476,0.002476
116,65377.6,3.00625,3.01282,2.70614,0.55543,0.4715,0.52204,0.30815,3.15681,3.21566,2.78931,0.00241,0.00241,0.00241
117,65932.5,3.00413,3.02771,2.71578,0.54673,0.4752,0.52297,0.30711,3.15884,3.21248,2.78915,0.002344,0.002344,0.002344
118,66486.1,3.006,3.01049,2.71226,0.55367,0.47243,0.52315,0.30703,3.15988,3.20793,2.78861,0.002278,0.002278,0.002278
119,67040.9,2.99658,2.98507,2.70042,0.55164,0.47607,0.52354,0.30812,3.15977,3.2068,2.78805,0.002212,0.002212,0.002212
120,67595.6,2.98986,2.97409,2.69272,0.54503,0.47909,0.5214,0.30773,3.16229,3.20291,2.78806,0.002146,0.002146,0.002146
121,68149.1,2.98253,2.94679,2.68249,0.5468,0.47789,0.52444,0.30972,3.1637,3.20171,2.7875,0.00208,0.00208,0.00208
122,68703.4,2.96178,2.94907,2.67758,0.53933,0.48091,0.52603,0.30995,3.16591,3.1992,2.78792,0.002014,0.002014,0.002014
123,69257.8,2.96302,2.92636,2.67775,0.5438,0.48795,0.52481,0.30998,3.1676,3.19704,2.78863,0.001948,0.001948,0.001948
